Version: 1 OpenDRIVE: ..\xodr\_ego_cut_behind0.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot, centerOffsetX, centerOffsetY, centerOffsetZ, ctrl_type, height, laneId, length, model_id, obj_category, obj_type, offset, roadId, s, t, width
0.000, 0, Ego, 15.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 0.000, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 15.000, -1.500, 2.000
0.000, 1, A, -0.000, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 0.000, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 0.000, -4.500, 1.800
0.100, 0, Ego, 18.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 2.288, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 18.000, -1.500, 2.000
0.100, 1, A, 3.900, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 4.860, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 3.900, -4.500, 1.800
0.200, 0, Ego, 21.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 4.576, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 21.000, -1.500, 2.000
0.200, 1, A, 7.800, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 3.436, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 7.800, -4.500, 1.800
0.300, 0, Ego, 24.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 0.582, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 24.000, -1.500, 2.000
0.300, 1, A, 11.700, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 2.013, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 11.700, -4.500, 1.800
0.400, 0, Ego, 27.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 2.870, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 27.000, -1.500, 2.000
0.400, 1, A, 15.600, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 0.589, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 15.600, -4.500, 1.800
0.500, 0, Ego, 30.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 5.158, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 30.000, -1.500, 2.000
0.500, 1, A, 19.500, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 5.449, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 19.500, -4.500, 1.800
0.600, 0, Ego, 33.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 1.163, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 33.000, -1.500, 2.000
0.600, 1, A, 23.400, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 4.025, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 23.400, -4.500, 1.800
0.700, 0, Ego, 36.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 3.451, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 36.000, -1.500, 2.000
0.700, 1, A, 27.300, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 2.602, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 27.300, -4.500, 1.800
0.800, 0, Ego, 39.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 5.740, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 39.000, -1.500, 2.000
0.800, 1, A, 31.200, -4.500, 0.000, 0.000, 0.000, 0.000, 39.000, 0.000, 1.178, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 31.200, -4.500, 1.800
0.900, 0, Ego, 42.000, -1.500, 0.000, 0.000, 0.000, 0.000, 30.000, 0.000, 1.745, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 42.000, -1.500, 2.000
