Version: 1 OpenDRIVE: ..\xodr\_overtake0.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot, centerOffsetX, centerOffsetY, centerOffsetZ, ctrl_type, height, laneId, length, model_id, obj_category, obj_type, offset, roadId, s, t, width
0.000, 0, b'Ego', 15.000, -1.500, 0.000, 0.000, 0.000, 0.000, 9.000, 0.000, 0.000, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 15.000, -1.500, 2.000
0.000, 1, b'A', -0.000, -4.500, 0.000, 0.000, 0.000, 0.000, 18.000, 0.000, 0.000, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 0.000, -4.500, 1.800
0.100, 0, b'Ego', 15.900, -1.500, 0.000, 0.000, 0.000, 0.000, 9.000, 0.000, 2.571, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 15.900, -1.500, 2.000
0.100, 1, b'A', 1.800, -4.500, 0.000, 0.000, 0.000, 0.000, 18.000, 0.000, 5.143, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 1.800, -4.500, 1.800
0.200, 0, b'Ego', 16.800, -1.500, 0.000, 0.000, 0.000, 0.000, 9.000, 0.000, 5.143, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 16.800, -1.500, 2.000
0.200, 1, b'A', 3.600, -4.500, 0.000, 0.000, 0.000, 0.000, 18.000, 0.000, 4.003, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 3.600, -4.500, 1.800
0.300, 0, b'Ego', 17.700, -1.500, 0.000, 0.000, 0.000, 0.000, 9.000, 0.000, 1.431, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 17.700, -1.500, 2.000
0.300, 1, b'A', 5.400, -4.500, 0.000, 0.000, 0.000, 0.000, 18.000, 0.000, 2.862, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 5.400, -4.500, 1.800
0.400, 0, b'Ego', 18.600, -1.500, 0.000, 0.000, 0.000, 0.000, 9.000, 0.000, 4.003, 1.400, 0.000, 0.900, 0, 1.800, -1, 5.000, 0, 0, 1, 0.000, 0, 18.600, -1.500, 2.000
0.400, 1, b'A', 7.200, -4.500, 0.000, 0.000, 0.000, 0.000, 18.000, 0.000, 1.722, 1.300, 0.000, 0.800, 0, 1.500, -2, 4.500, 2, 0, 1, 0.000, 0, 7.200, -4.500, 1.800
